ID,birthdate,marital_status,car_use,gender,kids_driving,parent,education,car_make,car_model,car_color,car_year,claim_freq,coverage_zone,claim_amt,household_income
62-2999778,8/9/1962,Single,Private,Male,2,Yes,High School,Acura,TSX,Green,2010,1,Highly Urban,$73759.88,$220436.66
70-2426103,4/21/1988,Married,Private,Female,0,No,Bachelors,Corbin,Sparrow,Turquoise,2004,1,Urban,$78975.41,$66491.43
08-3808219,3/8/1999,Divorced,Private,Male,0,No,Bachelors,Nissan,Pathfinder,Orange,1993,0,Rural,$30904.01,$56122.70
38-0306843,5/10/1959,Single,Private,Female,0,No,Bachelors,Ford,Econoline E350,Pink,2000,1,Highly Urban,$30257.82,$175182.61
47-5163637,1/15/1992,Single,Commercial,Male,0,No,Masters,Nissan,350Z,Green,2006,3,Rural,$50434.02,$137110.23
07-4760971,11/6/1963,Single,Private,Male,1,Yes,PhD,Mercedes-Benz,CLK-Class,Maroon,1999,3,Rural,$71935.14,$212072.46
36-8207139,8/27/1999,Single,Private,Male,0,No,High School,Toyota,Matrix,Yellow,2006,0,Rural,$21611.15,$87875.66
57-6123340,2/26/1980,Married,Private,Male,0,No,Bachelors,Lincoln,Continental Mark VII,Crimson,1989,2,Highly Rural,$24447.74,$167681.37
47-9063798,10/6/1950,Single,Private,Male,2,Yes,High School,Mazda,323,Goldenrod,1995,0,Rural,$40437.12,$116304.98
92-8406214,12/18/1992,Single,Private,Female,0,No,High School,Ford,F350,Red,1994,0,Suburban,$32119.83,$111742.45
84-7911024,3/2/1959,Married,Private,Male,0,No,Bachelors,Chevrolet,S10,Maroon,1996,0,Rural,$49673.00,$177954.74
11-2635299,12/9/1998,Seperated,Commercial,Male,0,No,Bachelors,Eagle,Talon,Crimson,1997,0,Rural,$74738.17,$225803.14
62-5664607,7/20/1968,Married,Private,Male,0,No,Masters,Oldsmobile,Achieva,Fuscia,1992,0,Highly Rural,$43562.91,$105687.81
61-4271378,9/4/1961,Divorced,Private,Female,0,No,PhD,Toyota,Yaris,Fuscia,2008,0,Highly Urban,$22841.99,$53926.42
06-4111825,5/24/2000,Single,Commercial,Male,0,No,Bachelors,Mercedes-Benz,CLS-Class,Green,2006,0,Rural,$19495.45,$209769.41
31-6780715,4/1/1976,Single,Commercial,Female,0,No,Bachelors,Chevrolet,Express 3500,Goldenrod,2003,1,Highly Urban,$26806.63,$213835.24
72-4908099,5/5/1966,Divorced,Private,Male,1,Yes,High School,Mazda,B-Series,Crimson,2003,0,Urban,$90461.81,$244371.27
81-0938457,5/28/1975,Single,Private,Female,0,No,High School,Mercedes-Benz,S-Class,Fuscia,1994,0,Suburban,$47803.15,$155992.74
20-9169950,12/8/1964,Single,Private,Female,0,No,PhD,Volvo,S40,Orange,2006,0,Highly Urban,$7142.13,$69911.72
97-1671095,10/27/1970,Divorced,Private,Female,2,Yes,Bachelors,Suzuki,Grand Vitara,Pink,2009,0,Rural,$72458.97,$75413.76
42-0090676,4/18/1969,Single,Private,Female,1,Yes,High School,Porsche,Cayman,Aquamarine,2008,0,Suburban,$33580.73,$120364.49
